dataset,file_path,ts2i_transformation_pretty_name,model,latent_dim,window_length,stride,image_size,epochs,learning_rate,train_losses,val_losses,AUC_PR,AUC_ROC,VUS_PR,VUS_ROC,Standard_F1,PA_F1,Event_F1,R_F1,Affiliation_F,training_time_s,device
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,MTF,resnet18_autoencoder_differential_lr,128,50,50,64,100,0.001,"[0.1869402121413838, 0.13558627732775427, 0.10372269763187929, 0.08273678476160223, 0.07041451605883511, 0.06202801655639301, 0.05579947917298837, 0.05160519887100567, 0.048994274979287926, 0.04331842030991207, 0.041674977337772194, 0.040901337157596244, 0.03999142890626734, 0.03802418302405964, 0.035562927750023926, 0.03454905121841214, 0.032969025894999504, 0.0318188758736307, 0.03180575743317604, 0.031653170389207924, 0.029994926838712258, 0.027944854883985085, 0.028044171969998966, 0.026187478310682556, 0.025577080859379334, 0.02480474825609814, 0.02403852834620259, 0.023374547335234554, 0.022925620898604393, 0.02209034206515009, 0.022098048505457966, 0.021546626802195202, 0.020273889668963173, 0.02042825740169395, 0.020899926227602093, 0.019679268822073936, 0.018736973150887272, 0.0180763638663021, 0.01766529509967024, 0.016768036664209583, 0.016018660315735775, 0.015050932257012888, 0.01601697885516015, 0.015273183584213257, 0.013383625498549505, 0.012586334127594124, 0.011622779155996714, 0.01138022118671374, 0.011582799086516554, 0.01082065582952716, 0.01129469902000644, 0.010668724436651577, 0.009920679286799648, 0.009481239852241495, 0.008989554152569988, 0.008986400567333807, 0.00872914425351403]","[0.1852643887201945, 0.13028584420681, 0.09583648542563121, 0.07606285065412521, 0.06618619213501613, 0.060046471655368805, 0.05306402097145716, 0.05011295403043429, 0.047655860582987465, 0.045547318955262504, 0.04310272758205732, 0.04385245963931084, 0.041750796139240265, 0.041586500902970634, 0.038912441581487656, 0.0395967923104763, 0.03881933788458506, 0.03763204564650854, 0.03716628005107244, 0.037003585447867714, 0.03548722590009371, 0.034607491145531334, 0.035067388166983925, 0.03452711179852486, 0.036492183804512024, 0.03413818155725797, 0.03347419140239557, 0.033888680239518486, 0.03450028970837593, 0.03379996741811434, 0.03272245141367117, 0.032750957335035004, 0.03422201921542486, 0.03249523229897022, 0.03235740835467974, 0.032059495647748314, 0.03197789005935192, 0.03136458868781725, 0.03173678430418173, 0.033927359928687416, 0.03238440242906412, 0.03229763172566891, 0.031923199693361916, 0.03150034695863724, 0.03028911476333936, 0.030194485560059547, 0.03010164387524128, 0.030178309107820194, 0.03183168234924475, 0.030478451400995255, 0.032336885730425514, 0.031255208576718964, 0.031086836631099384, 0.03078145223359267, 0.0310238612194856, 0.0305562832703193, 0.03088435468574365]",0.11087129592367864,0.2430408318167337,0.11182188537218037,0.23486965388028197,0.23731963482833973,0.852394022567856,0.1019601997465897,0.11961058463964482,0.6790942324237921,46.98224507900886,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,MTF,pvt_autoencoder_frozen,128,50,50,64,100,0.001,"[0.19374443319710818, 0.14072057672522284, 0.10892795568162744, 0.09002505852417512, 0.07611710375005548, 0.06675173545425589, 0.06235465407371521, 0.05864471772854978, 0.05295007167892023, 0.05002228847958825, 0.047219870442693886, 0.04411729018796574, 0.04134685376828367, 0.042519402436234734, 0.040694259107112885, 0.0379316352985122, 0.03713842650706118, 0.03478397530588237, 0.03529255600138144, 0.033317152918739754, 0.031964309852231636, 0.030702012167735535, 0.02807454646311023, 0.02604645253582434, 0.025284720754081554, 0.024483999237418175, 0.022341010245409878, 0.021150073205882854, 0.01947974938560616, 0.018211861818351528]","[0.1963160832722982, 0.12889087200164795, 0.09319552034139633, 0.07734076678752899, 0.07249573121468227, 0.06601392477750778, 0.06035872921347618, 0.05808056518435478, 0.05434889222184817, 0.0544289747873942, 0.05419056490063667, 0.0487746795018514, 0.04917222013076147, 0.0481898399690787, 0.04700702056288719, 0.04938633739948273, 0.050066580375035606, 0.04765906433264414, 0.04785345494747162, 0.04656019931038221, 0.04779324928919474, 0.047259704520305, 0.04656473298867544, 0.048370007425546646, 0.04743803416689237, 0.048067085444927216, 0.047652654349803925, 0.04816418637832006, 0.046704920629660286, 0.04874701797962189]",0.11071264826856117,0.2408421805680381,0.11154603542079303,0.231890233004336,0.23731963482833973,0.831561969258377,0.23709644156136317,0.14740555048832338,0.6898793644391152,24.061312853125855,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,MTF,pvt_autoencoder_progressive_unfreeze,128,50,50,64,150,0.001,"[0.1847682852636684, 0.12766666439446536, 0.10001819919456136, 0.08119631084528836, 0.07071187008510936, 0.06276463310826909, 0.05702908066186038, 0.055211875926364555, 0.05204762416807088, 0.04938676716251807, 0.046218124302950775, 0.043770376931537285, 0.04068357294256037, 0.03926796703176065, 0.03706057979301973, 0.03496479598635977, 0.03366549397734078, 0.03182975084266879, 0.031000224196098068, 0.02995176071470434, 0.09944743087345903, 0.059851410375400024, 0.048683917996558274, 0.042098306458104744, 0.03777963431044058, 0.033675257793881676, 0.031881731511517006, 0.031305712055076255, 0.03126555782827464, 0.028421900150450794, 0.02617612819780003, 0.02484931204129349, 0.02362358366901224, 0.02336256036704237, 0.02273170870136131, 0.02148665724830194, 0.020125628533688458, 0.018980883569879967, 0.017706559716977856, 0.0182462138208476, 0.017509567805311897, 0.01682036200707609, 0.015970117835835976, 0.015783477659252556, 0.015159400941973383, 0.014320040460337292, 0.013500944541936571, 0.01244850041852756, 0.011043648574162613, 0.009784525429660624, 0.009065592068840157, 0.009582000953907316]","[0.19028703371683756, 0.1202341690659523, 0.08798724909623463, 0.07660737136999766, 0.06834379335244496, 0.06185858448346456, 0.06154920905828476, 0.05653249844908714, 0.054805688560009, 0.05233520517746607, 0.05314839134613673, 0.05013208587964376, 0.048224358508984246, 0.047785899291435875, 0.05048404013117155, 0.04757747674981753, 0.05081331729888916, 0.049058968822161354, 0.04767876615126928, 0.046854838728904724, 0.09413934747378032, 0.055006363739569984, 0.046200308948755264, 0.043274130672216415, 0.040816829850276314, 0.039497664819161095, 0.037171916415294014, 0.04027959704399109, 0.038018565624952316, 0.03526797890663147, 0.0378301739692688, 0.034269375105698906, 0.03482485500474771, 0.03526062394181887, 0.03530749926964442, 0.03375075136621793, 0.03436883663137754, 0.03342134443422159, 0.0348945123453935, 0.03418670284251372, 0.03330092939237753, 0.033160761619607605, 0.03471863828599453, 0.03569288675983747, 0.035406588887174927, 0.03358082969983419, 0.03367846769591173, 0.03433178303142389, 0.03321641497313976, 0.03321945605178674, 0.033279312774538994, 0.033770992110172905]",0.11114845995240402,0.24297149312845304,0.1119418345194791,0.2332721285765265,0.23731963482833973,0.8015533380345637,0.09968904920130056,0.11961058463964482,0.6755759219034253,44.03705783793703,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,MTF,pvt_autoencoder_differential_lr,128,50,50,64,100,0.001,"[0.18331242555921728, 0.12564312531189484, 0.09360372071916406, 0.07709422707557678, 0.0662639279934493, 0.05937788195230744, 0.05378816107457334, 0.05134124613621018, 0.04747016287662766, 0.043926375156099144, 0.04412041807716543, 0.04229117049412294, 0.03985229016027667, 0.041683839464729484, 0.037485993043942886, 0.03751625120639801, 0.034981446848674255, 0.034957097673958, 0.03406589545986869, 0.03381237590854818, 0.03121071207252416, 0.03021680157292973, 0.029174438762393864, 0.02909819426184351, 0.029699043116786263, 0.028342823413285343, 0.026540401645682075, 0.02526246231387962, 0.025571143423969097, 0.024537018754265526, 0.02281431227245114, 0.022798234596848488, 0.022908481684598057, 0.021249019117517906, 0.02019102634354071, 0.01913198684765534, 0.019909010522744873, 0.019811698320237072, 0.018516916612332516, 0.017972159453413704, 0.017569721422412178, 0.017671627415852112, 0.01850247789512981, 0.01685656336220828, 0.01506619993597269, 0.013954695652831684, 0.01333523965017362, 0.012998269362883135, 0.012798347679728811, 0.011831064200536772, 0.011612402021207592, 0.01092706849290566, 0.010441251437772404, 0.009827594103460962, 0.009497362950986082, 0.009461557831276547, 0.009324340065094557]","[0.18191735446453094, 0.11677166571219762, 0.09219183027744293, 0.07166359821955363, 0.060913839687903724, 0.05333180104692777, 0.05102210616072019, 0.05074037363131841, 0.04626396174232165, 0.04459550604224205, 0.04395025968551636, 0.04292927806576093, 0.0420205257833004, 0.04010485112667084, 0.040548001726468406, 0.03787787010272344, 0.03710086519519488, 0.03698377311229706, 0.03909065698583921, 0.035736353447039924, 0.034439043452342354, 0.03377842282255491, 0.033701030537486076, 0.03856303791205088, 0.0375253235300382, 0.03356474389632543, 0.033209871500730515, 0.033268978198369346, 0.03235284239053726, 0.031813825791080795, 0.031062425424655277, 0.03164429838458697, 0.03094448211292426, 0.0306955153743426, 0.03132329943279425, 0.031494983161489166, 0.031242023532589275, 0.029843686148524284, 0.030659192552169163, 0.032074702282746635, 0.03056571198006471, 0.033213174591461815, 0.030118764688571293, 0.0307783509294192, 0.0294269851098458, 0.029168815662463505, 0.02864154304067294, 0.028774351502458256, 0.029186660423874855, 0.02972062552968661, 0.02917014869550864, 0.029595545803507168, 0.030061792582273483, 0.030142247055967648, 0.029600427175561588, 0.03036584270497163, 0.03003673627972603]",0.11145187355695378,0.24476732656999306,0.11236522697940189,0.23587388625633698,0.23731963482833973,0.8401090530029669,0.10886974512636646,0.11961058463964482,0.684342479815464,59.94367887801491,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,cnn_autoencoder,128,50,50,64,150,0.001,"[0.2530509165742181, 0.20854475687850604, 0.17180592228065839, 0.14206145839257675, 0.11719175766814839, 0.09653053364970467, 0.07953435385769064, 0.06582695719870654, 0.054838203571059486, 0.04600998623804613, 0.03886842626062306, 0.033057399432767524, 0.028293762864036995, 0.024369412186470898, 0.021123623475432396, 0.018424325029958378, 0.016163669695908375, 0.014265209605748003, 0.012666162272745913, 0.011309096843681553, 0.01015005252239379, 0.009152512489394709, 0.008472553200342438, 0.008077599362216213, 0.007709095339206132, 0.0073621961372819815, 0.0070342258973555135, 0.0067247589203444395, 0.006497135555202311, 0.006355322939767079]","[0.24047396580378214, 0.22181665897369385, 0.17271122336387634, 0.08796685685714085, 0.03377137333154678, 0.016199742754300434, 0.007754563974837462, 0.0028942111724366746, 0.0013388932372132938, 0.0006396889220923185, 0.0004069903419197847, 0.0002441445249132812, 0.00024414195407492417, 0.0002436333743389696, 9.312113009703656e-05, 6.177523346195812e-07, 2.923006453177853e-06, 6.0872288789444916e-05, 6.119990333293875e-05, 4.1607954093099884e-05, 3.179599540696169e-05, 1.0487041132970868e-05, 1.0807729267980903e-05, 1.101177955812697e-05, 1.3945988333337786e-05, 2.277228971555208e-05, 2.2857781611188937e-05, 1.7238220607396215e-05, 9.164114392964015e-06, 2.2618246172593597e-05]",0.16386110278800067,0.5172888620023427,0.13742947667100658,0.5014160764979736,0.23731963482833973,0.0754337344823659,0.13770414757372795,0.0965478958200809,0.13417835366383404,16.214941286947578,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,resnet18_autoencoder_frozen,128,50,50,64,100,0.001,"[0.17885482582178983, 0.11263617263598875, 0.0769476131959395, 0.054259070279923355, 0.03918903558091684, 0.02908359095454216, 0.02220329591496424, 0.017395720393820244, 0.013946160420098087, 0.011407222090796991, 0.00948923783884807, 0.00800717668607831, 0.006842269519851966, 0.005910512737252496, 0.005310654724863442, 0.004977122287858616, 0.004673017823899334]","[0.1945593853791555, 0.09075865397850673, 0.01425504374007384, 0.003427899287392696, 0.0008951864826182524, 0.0001417404564563185, 6.562176774120114e-06, 4.7509682493303744e-06, 7.347020679541554e-05, 0.0005415123499309024, 0.0009173018819031616, 0.0008951413910835981, 0.0006025495240464807, 0.002461669578527411, 0.002488935754323999, 0.002305037962893645, 0.0020918588464458785]",0.16386110278800067,0.5172888620023427,0.13742947667100658,0.5014160764979736,0.23731963482833973,0.0754337344823659,0.13770414757372795,0.0965478958200809,0.13417835366383404,10.063910434022546,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,resnet18_autoencoder_progressive_unfreeze,128,50,50,64,150,0.001,"[0.2262490296905691, 0.15275791693817486, 0.09882249344478954, 0.06138651445508003, 0.03938238187269731, 0.026811274615201084, 0.019383667206222362, 0.014711415479806337, 0.011599139987745068, 0.00942090263759548, 0.007827854080295021, 0.006622719832442023, 0.005685354582965374, 0.004939774686301296, 0.0044607235626740885, 0.004193983718075536, 0.0039507876869968395]","[0.2293295313914617, 0.13525816798210144, 0.02373013272881508, 0.0019850836445887885, 0.0004929447895847261, 0.0002807411559236546, 5.303793902082058e-05, 5.174288889975287e-05, 0.000361435319064185, 0.0013998075931643446, 0.0019983722207446895, 0.001883585937321186, 0.0014535666753848393, 0.002930883395796021, 0.002858280980338653, 0.0026701413250217834, 0.002487725345417857]",0.13072948587831182,0.4827111379976573,0.13133072531973505,0.4807455066537166,0.23731963482833973,0.23033824152044033,0.22998882231202905,0.003427279385080377,0.6853108628748604,9.842022443190217,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,resnet18_autoencoder_differential_lr,128,50,50,64,100,0.001,"[0.25209431621161377, 0.1836886013096029, 0.13431729782711377, 0.09536940468983217, 0.06602603501894257, 0.04524534805254503, 0.031177473000504753, 0.0222023432566361, 0.016512483527714557, 0.012780939059501345, 0.010212260044433853, 0.008373810825022783, 0.0070083844052119685, 0.005963614591482011, 0.005143567369404164, 0.00448680952699347, 0.003951629708436402, 0.0035094483332200484, 0.0031402028716084633, 0.0028280183799903502, 0.0025616320569745517, 0.002332358261231672, 0.002133534099398689, 0.0019598191244189034, 0.0018072146710685709, 0.0016721418360248208, 0.0015523723665286195, 0.0014451785351742399, 0.0013491705229336565, 0.0012626568469303575, 0.0011844387680122798, 0.0011135131459344518, 0.001048886608755724, 0.0009899101093072784, 0.0009359162491322918, 0.000886271993460303, 0.000840629720848731, 0.0007985129698433659, 0.0007595113817263733, 0.0007233700334009799, 0.000689823032272133, 0.0006585606342096897, 0.0006294642490419475, 0.0006022708045996048, 0.0005768679812635211, 0.0005530334363522178, 0.0005307010988789526, 0.0005096897631036965, 0.0004899437877942215, 0.0004713237338530069, 0.0004537543176080693, 0.0004371880918783559, 0.00042150294228287584, 0.0004066840126390823, 0.00039261861820705235, 0.00037927285831590945, 0.00036660794814286584, 0.00035458721421574325, 0.00034314641115170986, 0.00033227052666585553, 0.00032186873564073306, 0.000311988236551935, 0.00030253728883425623, 0.00029351912301287734, 0.00028488740843551403, 0.00027665951479734343, 0.0002687642409000546, 0.00026121045282872564, 0.00025396441395225173]","[0.2526216010252635, 0.17377234001954397, 0.10818370680014293, 0.06928268820047379, 0.04444220165411631, 0.03566543012857437, 0.029797575746973354, 0.018800891935825348, 0.00966950754324595, 0.009081780600051085, 0.009011231052378813, 0.007565122718612353, 0.006049304734915495, 0.006085454951971769, 0.005338200523207585, 0.0048293050689001875, 0.004144217198093732, 0.003716939672206839, 0.003354159959902366, 0.0029939485248178244, 0.0026637475627164045, 0.002434836079676946, 0.0023157640049854913, 0.002129732087875406, 0.0019702278853704533, 0.0017766878008842468, 0.0016782337334007025, 0.001599278145780166, 0.0014681100922947128, 0.0013996876853828628, 0.0013235368145008881, 0.0012260655251642068, 0.0011963398040582736, 0.001095319981686771, 0.0010318693239241838, 0.0009643534819285075, 0.0009487958353323241, 0.0009100688233350714, 0.0008478311744208137, 0.0007906779646873474, 0.0007649131778938075, 0.0007248710026033223, 0.0007008993998169899, 0.0006788282577569286, 0.000643492074838529, 0.0006292310620968541, 0.0005959425082740685, 0.0005626915371976793, 0.0005595556964787344, 0.0005283933132886887, 0.0005057890860674282, 0.00048480664069453877, 0.0004693447845056653, 0.0004772709410948058, 0.0004398536984808743, 0.0004280702560208738, 0.0004244639227787654, 0.0003887838878047963, 0.00037716724909842014, 0.00036643824811714393, 0.00035143812419846654, 0.0003420218611912181, 0.0003361062748202433, 0.0003244969217727582, 0.00031454355727570754, 0.00030600147632261115, 0.00029821488230178755, 0.00029023462169182795, 0.00028025432645032805]",0.16386110278800067,0.5172888620023427,0.13742947667100658,0.5014160764979736,0.23731963482833973,0.0754337344823659,0.13770414757372795,0.0965478958200809,0.13417835366383404,63.44764259713702,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,pvt_autoencoder_frozen,128,50,50,64,100,0.001,"[0.22948483716357837, 0.15795491500334305, 0.11014908348972147, 0.07601730931888927, 0.053123036568815056, 0.03824632242321968, 0.02841698903251778, 0.021809980442578144, 0.017106321894309738, 0.013683517548170957, 0.011164935813708738, 0.009262938052415848, 0.0077974476258863105, 0.006648608271709897, 0.005735420325601643, 0.005000529683787714, 0.004400800490243869, 0.0039056296333331952, 0.0034913932904601097, 0.003142133460972797, 0.0028440638614649124, 0.0025877923154356804, 0.0023657587907192383, 0.0021717846393585205, 0.0020016022661531515, 0.0018511055545373397, 0.0017174665329300544, 0.0015982704723931172, 0.001491288019513542, 0.001395118422806263, 0.001308167924765836, 0.0012293955078348517, 0.0011577271242541346, 0.0010922934902323918, 0.0010323815725066445, 0.0009774461557919328, 0.0009268795679831369, 0.0008802198148755865, 0.0008370612102391368, 0.0007971127528104593, 0.0007599731007675556, 0.0007254499571651897, 0.0006932963204400784, 0.0006632630406370895, 0.0006352019051767209, 0.0006088688281703402, 0.0005842262603850527, 0.0005610285443253815, 0.0005392187052745033, 0.0005186839420771735, 0.0004993163906461136, 0.00048100568396462637, 0.0004637314969758418, 0.0004473647912329232, 0.0004318586963398213, 0.00041716330187310547, 0.00040321878358637065, 0.0003899793241130696, 0.00037736902860077947, 0.00036536990029906684, 0.0003539341771763495, 0.00034304549494250256, 0.0003326550517654554, 0.00032272170012054795, 0.00031322718926028096, 0.0003041667382190512, 0.00029548147259364754, 0.00028717149027877235, 0.000279199985512109]","[0.23164455592632294, 0.15491599837938944, 0.09361114352941513, 0.05957213292519251, 0.04137000938256582, 0.030566036701202393, 0.023549875244498253, 0.01859078307946523, 0.014769514091312885, 0.012024734169244766, 0.009980309133728346, 0.008392914508779844, 0.007138526067137718, 0.006139287259429693, 0.0053349218020836515, 0.004678900353610516, 0.004139313008636236, 0.003689812341084083, 0.0033126513784130416, 0.0029918731500705085, 0.002716801051671306, 0.002478843710074822, 0.0022712567976365485, 0.0020891455933451653, 0.0019293485286956031, 0.0017873253285263975, 0.0016608961547414462, 0.00154829576301078, 0.0014464927759642403, 0.0013547735288739204, 0.0012720022350549698, 0.001196969727364679, 0.0011278527866428096, 0.0010651666671037674, 0.00100748004236569, 0.0009546143701300025, 0.0009059893006148437, 0.0008609957876615226, 0.0008192703244276345, 0.0007804068930757543, 0.0007446414480606715, 0.0007110044243745506, 0.0006800619885325432, 0.0006510430636505286, 0.0006235480347337822, 0.000598100731925418, 0.0005740635679103434, 0.0005514698762757083, 0.0005302002731089791, 0.0005103457369841635, 0.0004912365887624522, 0.0004735053516924381, 0.00045667071632730466, 0.00044061627704650164, 0.0004254370869603008, 0.00041109587376316387, 0.00039743421560463804, 0.0003845108731184155, 0.00037226111938556034, 0.000360513882090648, 0.0003493590629659593, 0.0003386432557211568, 0.00032843028505643207, 0.00031861203994291526, 0.0003093225823249668, 0.0003004372022890796, 0.00029198914611091215, 0.0002837848151102662, 0.0002760676628289123]",0.13072948587831182,0.4827111379976573,0.13133072531973505,0.4807455066537166,0.23731963482833973,0.23033824152044033,0.22998882231202905,0.003427279385080377,0.6853108628748604,50.944658597931266,cuda
SWaT,550_SWaT_id_1_Sensor_tr_43700_1st_43800,RP,pvt_autoencoder_progressive_unfreeze,128,50,50,64,150,0.001,"[0.2565676800229333, 0.18022770095955243, 0.12383848428726196, 0.0835747170177373, 0.05745998634533449, 0.04097279533743858, 0.03019854257052595, 0.02281593954698606, 0.017699085514653812, 0.014074776321649551, 0.011448430744084444, 0.009495029141279783, 0.008004770360209724, 0.006843498611653393, 0.005920427555049007, 0.005174350035800176, 0.004563034469769759, 0.004055469550869681, 0.003629293885420669, 0.0032683038152754307, 0.0023867461872710423, 0.001289999493482438, 0.0007803155723112551, 0.0005234900772021236, 0.00038135833826593375, 0.00029481694483282894, 0.00023758233344944364, 0.00019712567287073895, 0.00016708787403662097, 0.0001439347000665624, 0.0001255914678701877, 0.00011074632956561717, 9.853838392618027e-05, 8.834725634766404e-05, 7.972980860028078e-05, 7.238089363619855e-05, 6.60497654197653e-05, 6.055156038862399e-05, 5.573794822504913e-05, 5.150990050010891e-05, 4.776709597949362e-05, 4.443328593466008e-05]","[0.25170281529426575, 0.1721431314945221, 0.09788909802834193, 0.06353280444939931, 0.045210850735505424, 0.033722693721453346, 0.025674618780612946, 0.019897447278102238, 0.015672529737154644, 0.01266016811132431, 0.010420537243286768, 0.008729913271963596, 0.007417874100307624, 0.0063818772323429585, 0.005550052970647812, 0.004875169601291418, 0.004315661111225684, 0.003849352321897944, 0.003457707508156697, 0.003123486414551735, 0.0016977527799705665, 0.0009901409891123574, 0.0006355053628794849, 0.0004401968520445128, 0.0003321637826350828, 0.0002630402062398692, 0.0002153282257495448, 0.0001811288675526157, 0.0001551198559657981, 0.0001345491570342953, 0.00011816089924347277, 0.00010467998557336007, 9.35454493931805e-05, 8.409842848777771e-05, 7.613392760201047e-05, 6.929297281506781e-05, 6.337605736916885e-05, 5.823130898837311e-05, 5.369727902386027e-05, 4.9729764820464574e-05, 4.618215098162182e-05, 4.3023933055034526e-05]",0.16386110278800067,0.5172888620023427,0.13742947667100658,0.5014160764979736,0.23731963482833973,0.0754337344823659,0.13770414757372795,0.0965478958200809,0.13417835366383404,50.05954158701934,cuda
