file,CNN-AE (RN),CNN-AE (LP),CNN-AE (SG),CNN-AE (GASF),CNN-AE (GADF),CNN-AE (MTF),CNN-AE (RP),CNN-AE (RWT),CNN-AE (MWT),CNN-AE (SPIRAL),ResNet18-AE-FE (RN),ResNet18-AE-FE (LP),ResNet18-AE-FE (SG),ResNet18-AE-FE (GASF),ResNet18-AE-FE (GADF),ResNet18-AE-FE (MTF),ResNet18-AE-FE (RP),ResNet18-AE-FE (RWT),ResNet18-AE-FE (MWT),ResNet18-AE-FE (SPIRAL),ResNet18-AE-PU (RN),ResNet18-AE-PU (LP),ResNet18-AE-PU (SG),ResNet18-AE-PU (GASF),ResNet18-AE-PU (GADF),ResNet18-AE-PU (MTF),ResNet18-AE-PU (RP),ResNet18-AE-PU (RWT),ResNet18-AE-PU (MWT),ResNet18-AE-PU (SPIRAL),ResNet18-AE-DLR (RN),ResNet18-AE-DLR (LP),ResNet18-AE-DLR (SG),ResNet18-AE-DLR (GASF),ResNet18-AE-DLR (GADF),ResNet18-AE-DLR (MTF),ResNet18-AE-DLR (RP),ResNet18-AE-DLR (RWT),ResNet18-AE-DLR (MWT),ResNet18-AE-DLR (SPIRAL),PVT-v2-b1-AE-FE (RN),PVT-v2-b1-AE-FE (LP),PVT-v2-b1-AE-FE (SG),PVT-v2-b1-AE-FE (GASF),PVT-v2-b1-AE-FE (GADF),PVT-v2-b1-AE-FE (MTF),PVT-v2-b1-AE-FE (RP),PVT-v2-b1-AE-FE (RWT),PVT-v2-b1-AE-FE (MWT),PVT-v2-b1-AE-FE (SPIRAL),PVT-v2-b1-AE-PU (RN),PVT-v2-b1-AE-PU (LP),PVT-v2-b1-AE-PU (SG),PVT-v2-b1-AE-PU (GASF),PVT-v2-b1-AE-PU (GADF),PVT-v2-b1-AE-PU (MTF),PVT-v2-b1-AE-PU (RP),PVT-v2-b1-AE-PU (RWT),PVT-v2-b1-AE-PU (MWT),PVT-v2-b1-AE-PU (SPIRAL),PVT-v2-b1-AE-DLR (RN),PVT-v2-b1-AE-DLR (LP),PVT-v2-b1-AE-DLR (SG),PVT-v2-b1-AE-DLR (GASF),PVT-v2-b1-AE-DLR (GADF),PVT-v2-b1-AE-DLR (MTF),PVT-v2-b1-AE-DLR (RP),PVT-v2-b1-AE-DLR (RWT),PVT-v2-b1-AE-DLR (MWT),PVT-v2-b1-AE-DLR (SPIRAL)
001_NAB_id_1_Facility_tr_1007_1st_2014,0.1413595614787859,0.2148834691291588,0.2211435669153703,0.2122873434812301,0.1329690400055626,0.15205250449667,0.1132909513011553,0.2384280790824617,0.2631390090700966,0.2306496054529047,0.1245561988532453,0.2191249611878634,0.2050090566953887,0.2019497860488408,0.1250256488955028,0.1379784077936155,0.1132909513011553,0.2272826986708493,0.2253272027802262,0.215489818633765,0.1243281843291488,0.2201551070653336,0.2071588855597715,0.1669002458027663,0.1219309262276847,0.118212780435463,0.5759372430290798,0.2369340684076936,0.2231090189369931,0.198404503352856,0.2021614209789211,0.227590205793929,0.2054449415316839,0.1955989475104221,0.1213171520512204,0.1420146204693614,0.6920422058946742,0.2595890481274694,0.2328666470896941,0.187350387863595,0.145181659151764,0.2122281096594567,0.2093963326312083,0.1743206803672472,0.1225633399696575,0.1220926260719462,0.1132909513011553,0.269326492221018,0.2302756788521926,0.1927459804155555,0.1460338572314176,0.2272728861546277,0.2057954792981223,0.1834159275925662,0.1234216084433006,0.1161567612897615,0.113563890494916,0.243381137719281,0.244993422425558,0.1999127434323055,0.1466007040565431,0.215684610121092,0.2040267782074497,0.1681742018588182,0.1235047213476171,0.1331352040118997,0.5241069871171913,0.2512889326204323,0.2365603661779434,0.2078846270026381
002_NAB_id_2_WebService_tr_1500_1st_4106,0.1848391071596606,0.3943870968173526,0.5257908745290804,0.3137423222646567,0.1367666393071163,0.20700140019752,0.4872383534470592,0.4007868111077705,0.329277333934968,0.4989967011010868,0.2881086284673398,0.2794952491908589,0.4465841163524712,0.2153663869285066,0.1574239282472468,0.2070075099897704,0.455997018953248,0.2543004685358814,0.3000520844227688,0.553646825538431,0.1886292073664446,0.3627350686648829,0.4160885809722921,0.214579245673125,0.1574443230354718,0.2281139674666518,0.4540091674988405,0.3612972504434434,0.3001190535028195,0.415066266662163,0.2117243997925347,0.3713894521742891,0.5089768711035958,0.4789506405194516,0.156676673839806,0.2229269937790139,0.4470631925554204,0.3184248709939909,0.2873771099930065,0.4434203455667432,0.1517899673673687,0.3778586289921175,0.4516515773251562,0.4524832078821235,0.1573781998170584,0.208810109784607,0.4547390757523342,0.26555226467785,0.4531815035925263,0.4920185640493021,0.2185993446383442,0.3734576268997102,0.3813463323900375,0.4139315075553696,0.1573781998170584,0.2220344728913136,0.3727034114726345,0.4102899426285249,0.3692332349854718,0.4706306437369128,0.2232395765959627,0.3768751479957262,0.480008092126369,0.3390851685614503,0.1573781998170584,0.2101432343925548,0.4374258865091892,0.353256304322008,0.294061910839983,0.4971338103986796
005_NAB_id_5_Traffic_tr_594_1st_1645,0.1415507924652566,0.186449563412028,0.1414968909100454,0.1215615796887164,0.1096254196958118,0.1947607818247395,0.1538724759456267,0.2302523973072267,0.1623849783432119,0.1527253939693206,0.24622071157022,0.1514305792357937,0.2147435145751392,0.176043905096087,0.1378163368236511,0.1850943343614973,0.1431500574085315,0.1758825409863193,0.1292000642905106,0.1621254952903673,0.2251952597034066,0.1474732421597837,0.2528252429262339,0.1638792356953103,0.1375269780490486,0.1730379957886375,0.1427905599310455,0.174757886897259,0.1965068124135967,0.2103006814429899,0.2343681848168256,0.1502329179617875,0.1855523314783785,0.1567130179641212,0.1314479700061546,0.1962714438134606,0.1307412958592866,0.2432171186442536,0.1314814959535457,0.1770285258356947,0.2409302629530244,0.1495542190167841,0.1838454474065657,0.2462442086593616,0.1381938053491877,0.1838769190891222,0.1451441130976737,0.153059030592228,0.1544754364839209,0.1484980107010469,0.188336133560962,0.1743490910964963,0.2199633608043483,0.1808329672825471,0.1381938053491877,0.1882387575579743,0.1653258437868595,0.1897032951538527,0.1173868612322947,0.1656077087897227,0.2361242791799697,0.1622564846968348,0.1991016456561042,0.1755825322418028,0.1385046248641595,0.1742767599597128,0.1554856177537648,0.2182007238848269,0.1386400531979119,0.1508000599215563
006_NAB_id_6_Traffic_tr_2579_1st_5839,0.1010073153908288,0.1658424092361153,0.4247623482820685,0.2897604811582644,0.267486248722254,0.4099847716224981,0.2359721189997056,0.3472928846161373,0.2318628397147253,0.3856467022443113,0.1118361353465417,0.1244353399581654,0.272278316699965,0.1853897203402055,0.2744740071964086,0.1456932442425974,0.2870645395059187,0.2654897235191531,0.1568075398216553,0.2496862787490267,0.104103318558036,0.1291019844050889,0.3229029000301248,0.2564264289082601,0.2610586991862951,0.2199926983287692,0.2174345161580502,0.3904665597066791,0.2963596112093075,0.3530357009031751,0.1113944015745904,0.1500156174274635,0.2341979058272674,0.2488489830577628,0.2264945211143159,0.2353866728544806,0.1991077258264686,0.4032654314550613,0.1774467370753105,0.4786131391763081,0.1140111589116853,0.1532594561426677,0.291121040596828,0.283557000283896,0.3078522013005113,0.253638947562663,0.2382892877121303,0.3893284576004879,0.3216274434041368,0.2599985712538857,0.1134302801121222,0.1672630486943454,0.3905582111361046,0.2498555514538601,0.2649261209127203,0.2161178855477276,0.2456676264873555,0.4002474509034228,0.3180077044763074,0.2683484285329781,0.1108168138361756,0.1497786579185948,0.4394881521873896,0.2882549958212217,0.2549676918618278,0.2462619918746815,0.2250461822289363,0.3935069838608698,0.2328791195741339,0.3202808073588062
008_NAB_id_8_Synthetic_tr_1007_1st_2734,0.2710251598813833,0.4751547152896425,0.4444003712642853,0.5107627359082042,0.4613625498153118,0.4961328208240123,0.1329365079365079,0.5064371815174913,0.301762410554529,0.4588445927602511,0.3778382480052532,0.5191546586605427,0.4508336607666682,0.4217852567089725,0.542722041873927,0.404465612815968,0.1329365079365079,0.3888669085803535,0.5052570330738614,0.4647142343372876,0.3723918525576999,0.501653963637566,0.4687708782520506,0.5574031037448701,0.5274466968849035,0.5264504619567583,0.1329365079365079,0.5201336580503044,0.4821103561579779,0.5293914557128284,0.2653490532982124,0.507650641774318,0.477591210468505,0.53368092399455,0.4781273343675925,0.4547104064119046,0.1329365079365079,0.4417488610330078,0.3916453981869711,0.4628278852778575,0.2605656764980811,0.4976262118623743,0.4799412274089055,0.4571214443094484,0.4786079890797668,0.5812815490459816,0.1329365079365079,0.4834745988391884,0.402489298963174,0.4873304429947956,0.4151289337484906,0.5097657875956514,0.468127694495603,0.5181498913457574,0.4779924261071933,0.5360961265359798,0.8663793103448276,0.5062357941294556,0.4354587045876337,0.4557607016263834,0.4461475163855697,0.4659862431499043,0.5912635313978161,0.5007523419205232,0.5433376048465005,0.5330781371252139,0.1329365079365079,0.4501406485578117,0.4878566329544168,0.5347970501778091
009_NAB_id_9_Traffic_tr_500_1st_438,0.1755821765721285,0.4312319961759563,0.260953058343476,0.2080073657637643,0.1534370796248193,0.2065853520191828,0.2256537082266865,0.3712344063240144,0.2911144253988422,0.1663258192231784,0.3859370496339425,0.3152865623186479,0.2990410411280781,0.1894275648004538,0.1057997176574211,0.1431097023159042,0.1831606020217175,0.1375413081379556,0.1232103913114739,0.3693870400087243,0.1865907038341954,0.370968584809684,0.3903534633143277,0.1419568840406224,0.1101630313023855,0.1582704856220529,0.1750537904473914,0.1623163064555149,0.1561760181883585,0.2954738125589416,0.1820732736987877,0.3579515660759664,0.4318586661326237,0.1571521901904535,0.1170001685460197,0.1981603265744425,0.1540605369622665,0.2343818079798677,0.0990627403788854,0.4094959484594679,0.1820732736987877,0.3754692800957292,0.3117948347592021,0.187285928220622,0.1016917240204763,0.2934794434269754,0.18061370629509,0.1409796406262099,0.2159901360164653,0.4856814712695575,0.1436569601710799,0.3762356822555773,0.3094368265269164,0.2019297018360366,0.1001473013161815,0.1267067919266214,0.1616460763378062,0.2153509721117428,0.1292828039098538,0.4269494896449549,0.1399392506594972,0.3777394356152721,0.2553153359233127,0.2241433700201957,0.1088425841925369,0.1412546351587089,0.1395116875070249,0.2048466640257696,0.1503547361608697,0.3461169136794645
010_NAB_id_10_WebService_tr_500_1st_271,0.1191164147743095,0.4801282051282052,0.2725901360544218,0.0755808620170322,0.0755066287878787,0.1200675230566535,0.096,0.2410632642211589,0.1309750258799172,0.2751239198382055,0.1143746336473775,0.5190476190476191,0.4503030303030303,0.2443876941457586,0.3595588235294117,0.0782698732166817,0.096,0.114330808080808,0.1371282372598162,0.30125,0.1039953102453102,0.5833333333333334,0.2694047619047619,0.234313725490196,0.3555555555555555,0.0760238736166625,0.096,0.1748724489795918,0.1161261520737327,0.5142857142857143,0.1116827918458353,0.4423611111111111,0.4223148148148148,0.2616477272727272,0.4314026487788098,0.0735794722337873,0.096,0.2142431972789115,0.1869047619047619,0.3376443001443001,0.1164656137296356,0.4952380952380952,0.3441932624113475,0.218013468013468,0.152027972027972,0.0780657748049052,0.096,0.2090714840714841,0.0971914992795999,0.2904301075268817,0.1224567099567099,0.5072916666666667,0.4980519480519481,0.1969632219632219,0.0889122305982999,0.0746781564172868,0.096,0.1648694233791077,0.0906755782134953,0.4151298701298701,0.1255575520731052,0.4796035805626598,0.2933418367346939,0.170828111946533,0.3595588235294117,0.0739198012184725,0.096,0.1887133699633699,0.0828112640404999,0.6045238095238096
011_NAB_id_11_Facility_tr_1007_1st_1526,0.1391913710089896,0.2335644329901057,0.4456971676445944,0.6474071840090083,0.0978666077651805,0.2717209147278442,0.1576100430069166,0.6098777871488221,0.1492186781573411,0.4943789666104522,0.1439042983564138,0.1763885827207555,0.4264901560920277,0.6647415582272841,0.0978666077651805,0.2299247569365515,0.2043501960562883,0.500459727029635,0.1843334195480372,0.3373773693302847,0.1577337485461198,0.1817930342282901,0.47602229252918,0.6856367542931847,0.0978666077651805,0.2681165587001821,0.1963448105407444,0.4363030568132442,0.246126604322258,0.4301002704344104,0.1765377238763137,0.161397415046806,0.4265319874670732,0.6708627797464799,0.0977400254866995,0.2664852393752427,0.2043438806938471,0.4105302980162338,0.1841842185712274,0.4549357067204005,0.1398338734763148,0.1570275309116082,0.4874321909347943,0.1271173066565864,0.0978666077651805,0.2330318775892763,0.1842071231395698,0.4867276412109268,0.1688628941508662,0.1609693361002679,0.1406644399115052,0.1587080457336079,0.4348161887933924,0.6858142672616083,0.0978666077651805,0.27888516903046,0.1820559630610255,0.5347427722436578,0.1662314143316291,0.4382295008124987,0.1452484172475902,0.1612257271357841,0.4974497268250231,0.6769239657416665,0.0977400254866995,0.3247963698967033,0.1799497045731074,0.5168650204509707,0.1676796722955274,0.512262692244394
013_NAB_id_13_Traffic_tr_623_1st_2084,0.1419830788112073,0.4487191350526985,0.4905437508552064,0.5588550367332817,0.3603765665887,0.2331098764892988,0.2457324949669714,0.5082451526164755,0.5726139958175216,0.4918671212943589,0.15208483150305,0.1423791929370903,0.3362669649088817,0.3104635925684141,0.5575900604398271,0.1692464678239096,0.2674304015507396,0.512842949706371,0.4846412988376517,0.4230688394166217,0.1482048973404943,0.3581685502126501,0.3373332432261738,0.5857856534973191,0.5566433758710791,0.1568503200814907,0.2049343196119909,0.5259522778824757,0.4448666091203279,0.5235146107777582,0.1589643176794294,0.3441853258907021,0.3392262697504671,0.2403080256163123,0.5578110788275261,0.2547755172481099,0.2249095084046181,0.5378204541534626,0.5186339642834021,0.3873521077065964,0.1731194455297667,0.4158746817210418,0.335283753884616,0.660309083312531,0.5561512303143288,0.2112365645776843,0.2210760565981676,0.5723073027364585,0.5468336689858754,0.4547838779231208,0.1551716814977669,0.3409123781104796,0.3367864606089181,0.6908676549871368,0.5559619513026479,0.1774516053231732,0.2149322861852717,0.6074322071058343,0.5578167494844515,0.4601311447445403,0.1519264027524934,0.3440668421867607,0.3392445814884136,0.6358550198343281,0.561651614272655,0.1617737705847886,0.197078877940231,0.5269305095753607,0.5347348114099778,0.4107835083982715
014_NAB_id_14_WebService_tr_500_1st_1045,0.1629048904828161,0.1479097517708274,0.1377436050478581,0.2437984354021026,0.1679143143100146,0.1828814246195156,0.3828715365239294,0.177811330682392,0.2071433758798237,0.1220055973796338,0.332560584779499,0.1265255978904139,0.2035985945711079,0.2671243039459574,0.2496676433618704,0.1545662306295157,0.3828715365239294,0.1455402198290823,0.2240574127143731,0.1973686523458097,0.1520143259819279,0.1538701845808109,0.2025685596836181,0.2515556408057974,0.2478538984733332,0.14110988726074,0.1465766634522661,0.1894544841170813,0.1957204035140127,0.2096633303963998,0.1765023779829503,0.1852704770953511,0.1476420307094328,0.2972454312557586,0.2478538984733332,0.146506707766092,0.3828715365239294,0.1854436891462369,0.2134669655051887,0.2020407998090688,0.1421122508165051,0.1879316206358028,0.1903394916316353,0.3072585965314625,0.2416630440360495,0.1396682287752695,0.1465766634522661,0.1774413285909979,0.2006942749135976,0.2038779952264164,0.164807148787011,0.1885145293679248,0.2129906959258604,0.335079239411973,0.232220345245283,0.1537905353594876,0.3828715365239294,0.1990676525167071,0.209142820847501,0.1925196521079912,0.1884832745624437,0.183008927360171,0.1366011919691661,0.2847085871266268,0.1719554408741041,0.1249576913154613,0.1465766634522661,0.1718761780195076,0.2323421322245935,0.1832996264877505
