file,CNN-AE (RN),CNN-AE (LP),CNN-AE (SG),CNN-AE (GASF),CNN-AE (GADF),CNN-AE (MTF),CNN-AE (RP),CNN-AE (RWT),CNN-AE (MWT),CNN-AE (SPIRAL),ResNet18-AE-FE (RN),ResNet18-AE-FE (LP),ResNet18-AE-FE (SG),ResNet18-AE-FE (GASF),ResNet18-AE-FE (GADF),ResNet18-AE-FE (MTF),ResNet18-AE-FE (RP),ResNet18-AE-FE (RWT),ResNet18-AE-FE (MWT),ResNet18-AE-FE (SPIRAL),ResNet18-AE-PU (RN),ResNet18-AE-PU (LP),ResNet18-AE-PU (SG),ResNet18-AE-PU (GASF),ResNet18-AE-PU (GADF),ResNet18-AE-PU (MTF),ResNet18-AE-PU (RP),ResNet18-AE-PU (RWT),ResNet18-AE-PU (MWT),ResNet18-AE-PU (SPIRAL),ResNet18-AE-DLR (RN),ResNet18-AE-DLR (LP),ResNet18-AE-DLR (SG),ResNet18-AE-DLR (GASF),ResNet18-AE-DLR (GADF),ResNet18-AE-DLR (MTF),ResNet18-AE-DLR (RP),ResNet18-AE-DLR (RWT),ResNet18-AE-DLR (MWT),ResNet18-AE-DLR (SPIRAL),PVT-v2-b1-AE-FE (RN),PVT-v2-b1-AE-FE (LP),PVT-v2-b1-AE-FE (SG),PVT-v2-b1-AE-FE (GASF),PVT-v2-b1-AE-FE (GADF),PVT-v2-b1-AE-FE (MTF),PVT-v2-b1-AE-FE (RP),PVT-v2-b1-AE-FE (RWT),PVT-v2-b1-AE-FE (MWT),PVT-v2-b1-AE-FE (SPIRAL),PVT-v2-b1-AE-PU (RN),PVT-v2-b1-AE-PU (LP),PVT-v2-b1-AE-PU (SG),PVT-v2-b1-AE-PU (GASF),PVT-v2-b1-AE-PU (GADF),PVT-v2-b1-AE-PU (MTF),PVT-v2-b1-AE-PU (RP),PVT-v2-b1-AE-PU (RWT),PVT-v2-b1-AE-PU (MWT),PVT-v2-b1-AE-PU (SPIRAL),PVT-v2-b1-AE-DLR (RN),PVT-v2-b1-AE-DLR (LP),PVT-v2-b1-AE-DLR (SG),PVT-v2-b1-AE-DLR (GASF),PVT-v2-b1-AE-DLR (GADF),PVT-v2-b1-AE-DLR (MTF),PVT-v2-b1-AE-DLR (RP),PVT-v2-b1-AE-DLR (RWT),PVT-v2-b1-AE-DLR (MWT),PVT-v2-b1-AE-DLR (SPIRAL)
001_NAB_id_1_Facility_tr_1007_1st_2014,0.4162621359223301,0.9716713881019832,1.0,0.9702970297029704,0.6819085487077535,0.7489082969432315,0.5870786516853933,1.0,1.0,0.985632183908046,0.4213759213759214,0.9074074074074074,1.0,0.7168234064785789,0.7480916030534351,0.6830065359477124,0.5870786516853933,0.985632183908046,1.0,0.9716713881019832,0.3969610636277303,0.9195710455764076,1.0,0.6120058565153733,0.7321237993596584,0.498546511627907,0.7094105480868665,0.985632183908046,0.985632183908046,0.9449035812672176,0.6510903426791277,0.9449035812672176,1.0,0.8348909657320872,0.7168234064785789,0.6613924050632911,0.8500619578686494,0.985632183908046,1.0,0.9320652173913044,0.5461783439490446,0.9449035812672176,1.0,0.8716645489199492,0.7094105480868665,0.7101449275362319,0.5870786516853933,1.0,1.0,0.9449035812672176,0.5954861111111112,0.9449035812672176,1.0,0.7424511545293073,0.7243928194297783,0.5334370139968896,0.2139070782662925,0.985632183908046,1.0,0.9320652173913044,0.4583333333333333,0.9195710455764076,1.0,0.7169811320754716,0.7243928194297783,0.6040462427745664,0.7094105480868665,0.985632183908046,1.0,0.9195710455764076
002_NAB_id_2_WebService_tr_1500_1st_4106,0.7238636363636364,1.0,1.0,0.9402214022140222,0.637,0.8871866295264624,1.0,1.0,0.9402214022140222,1.0,0.8871866295264624,1.0,1.0,0.7587849910661107,0.6755037115588547,0.8871866295264624,1.0,0.8871866295264624,1.0,1.0,0.7587849910661107,1.0,1.0,0.7587849910661107,0.6755037115588547,0.8871866295264624,1.0,0.9402214022140222,1.0,1.0,0.8398154251812788,1.0,1.0,1.0,0.6755037115588547,0.8871866295264624,1.0,0.9402214022140222,1.0,1.0,0.5884526558891455,1.0,1.0,1.0,0.6755037115588547,0.8871866295264624,1.0,0.8871866295264624,1.0,1.0,0.7972465581977471,1.0,0.9402214022140222,0.9891304347826086,0.6755037115588547,0.8871866295264624,0.9402214022140222,1.0,1.0,1.0,0.7972465581977471,1.0,1.0,0.9402214022140222,0.6755037115588547,0.8398154251812788,1.0,1.0,0.9402214022140222,1.0
005_NAB_id_5_Traffic_tr_594_1st_1645,0.8831168831168831,0.9577464788732394,0.85,0.7906976744186046,0.7147147147147147,0.9577464788732394,0.85,1.0,0.8814814814814815,0.9577464788732394,1.0,0.918918918918919,0.9577464788732394,0.7906976744186046,0.8831168831168831,0.9577464788732394,0.85,0.8831168831168831,0.6938775510204082,0.9577464788732394,1.0,0.918918918918919,1.0,0.7391304347826086,0.8831168831168831,0.9577464788732394,0.6538461538461539,0.9577464788732394,0.918918918918919,0.918918918918919,1.0,0.918918918918919,0.9577464788732394,0.7640449438202247,0.8192771084337349,0.9577464788732394,0.85,1.0,0.8484848484848485,0.9577464788732394,1.0,0.918918918918919,0.9577464788732394,1.0,0.8831168831168831,0.9577464788732394,0.85,0.8831168831168831,0.85,0.8831168831168831,0.918918918918919,0.9577464788732394,0.918918918918919,0.7640449438202247,0.8831168831168831,0.9577464788732394,0.8192771084337349,0.9577464788732394,0.6928675400291121,0.9577464788732394,1.0,0.9577464788732394,1.0,0.8192771084337349,0.8831168831168831,0.9577464788732394,0.85,1.0,0.7391304347826086,0.918918918918919
006_NAB_id_6_Traffic_tr_2579_1st_5839,0.4167931208902377,0.5714285714285714,1.0,0.7856598016781083,0.698009318085557,0.9630668536699392,0.7608494921514312,0.802493182703545,0.5563808237677245,0.8829832833261895,0.5919540229885057,0.5285439384220654,0.6851441241685144,0.6547997457088366,0.8042947779404588,0.6526732673267327,0.7269519188354654,0.8530020703933747,0.5455508474576272,0.5788549350193186,0.4424398625429553,0.5563808237677245,0.7682983682983683,0.6851441241685144,0.6701366297983083,0.7326615293420272,0.5588714053174173,0.7904834996162702,0.767511177347243,0.8042947779404588,0.5919540229885057,0.5563808237677245,0.5860597439544808,0.7415406767458603,0.6966520121745012,0.7470534904805077,0.6090169992609017,0.7741450582487787,0.5633546034639927,0.9814197236779418,0.5919540229885057,0.5563808237677245,0.7218572054314498,0.7523739956172388,0.7297201558625576,0.7253521126760564,0.681893412777226,0.854417254251348,0.7326615293420272,0.7473922902494331,0.5919540229885057,0.5714285714285714,0.7682983682983683,0.814873417721519,0.6567481402763018,0.5873966353008269,0.5843971631205673,0.789272030651341,0.8199004975124378,0.8216992421220582,0.5919540229885057,0.5563808237677245,0.8530020703933747,0.8223552894211577,0.6756867568675686,0.7853602744948532,0.5563808237677245,0.789272030651341,0.8408163265306122,0.7285587975243147
008_NAB_id_8_Synthetic_tr_1007_1st_2734,0.8893805309734514,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9188571428571428,1.0,0.9877149877149876,1.0,0.9877149877149876,0.9757281553398058,0.0,0.9710144927536232,1.0,1.0,0.8893805309734514,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8729641693811075,1.0,1.0,1.0,0.9877149877149876,1.0,0.0,1.0,1.0,1.0,0.7121346324180691,1.0,0.9877149877149876,1.0,0.9877149877149876,1.0,0.0,1.0,0.9987577639751553,1.0,0.9188571428571428,1.0,0.9877149877149876,1.0,0.9877149877149876,1.0,0.928406466512702,1.0,1.0,1.0,0.8983240223463688,1.0,0.9877149877149876,1.0,0.9877149877149876,1.0,0.0,1.0,1.0,1.0
009_NAB_id_9_Traffic_tr_500_1st_438,0.3568945538818076,0.996742671009772,0.996742671009772,0.9134328358208956,0.9134328358208956,0.9134328358208956,0.9134328358208956,0.996742671009772,0.996742671009772,0.8429752066115702,0.5641025641025641,0.996742671009772,0.996742671009772,0.9134328358208956,0.8429752066115702,0.9134328358208956,0.8767908309455588,0.782608695652174,0.7303102625298329,0.996742671009772,0.3351468988030467,0.996742671009772,0.996742671009772,0.8767908309455588,0.7066974595842956,0.9134328358208956,0.8767908309455588,0.8767908309455588,0.8767908309455588,0.996742671009772,0.3351468988030467,0.996742671009772,0.996742671009772,0.9134328358208956,0.9134328358208956,0.9532710280373832,0.8225806451612904,0.9532710280373832,0.5523465703971119,0.996742671009772,0.3351468988030467,0.996742671009772,0.996742671009772,0.996742671009772,0.7303102625298329,0.996742671009772,0.9134328358208956,0.6845637583892618,0.9532710280373832,0.996742671009772,0.2728077945084145,0.996742671009772,0.996742671009772,0.996742671009772,0.6442105263157895,0.7555555555555555,0.9134328358208956,0.9134328358208956,0.6083499005964215,0.996742671009772,0.2728077945084145,0.996742671009772,0.996742671009772,0.996742671009772,0.8429752066115702,0.782608695652174,0.7149532710280374,0.9134328358208956,0.8116710875331565,0.996742671009772
010_NAB_id_10_WebService_tr_500_1st_271,0.375,1.0,1.0,0.2608695652173913,0.2474226804123711,0.7619047619047619,0.0,0.8275862068965517,0.7619047619047619,1.0,0.375,1.0,1.0,0.9056603773584906,0.8275862068965517,0.4247787610619469,0.0,0.4897959183673469,0.6153846153846154,1.0,0.3356643356643357,1.0,0.9056603773584906,0.9056603773584906,0.7619047619047619,0.4444444444444444,0.0,0.9056603773584906,0.6153846153846154,1.0,0.3356643356643357,1.0,1.0,0.9056603773584906,0.9056603773584906,0.375,0.0,0.7058823529411765,0.9056603773584906,1.0,0.375,1.0,1.0,0.8275862068965517,0.5106382978723404,0.4247787610619469,0.0,0.7058823529411765,0.5454545454545454,1.0,0.3243243243243243,1.0,1.0,0.5454545454545454,0.4444444444444444,0.4067796610169492,0.0,0.7619047619047619,0.4444444444444444,1.0,0.4660194174757281,1.0,1.0,0.8135593220338984,0.8275862068965517,0.375,0.0,0.7619047619047619,0.4897959183673469,1.0
011_NAB_id_11_Facility_tr_1007_1st_1526,0.5851851851851851,0.9432835820895522,1.0,1.0,0.3920595533498759,1.0,0.8494623655913979,1.0,0.7383177570093458,1.0,0.6528925619834711,0.9844236760124612,1.0,1.0,0.3920595533498759,0.9575757575757576,0.79,1.0,0.9186046511627908,0.9575757575757576,0.7632850241545893,0.9432835820895522,1.0,1.0,0.3920595533498759,0.9575757575757576,0.8494623655913979,1.0,1.0,1.0,0.9575757575757576,0.9432835820895522,1.0,1.0,0.398989898989899,1.0,0.88268156424581,1.0,0.9186046511627908,1.0,0.7632850241545893,0.9432835820895522,1.0,0.7802469135802469,0.3920595533498759,0.9575757575757576,0.7149321266968326,1.0,0.8186528497409327,0.8081841432225064,0.7383177570093458,0.9432835820895522,1.0,1.0,0.3920595533498759,1.0,0.79,1.0,0.88268156424581,1.0,0.79,0.9432835820895522,1.0,1.0,0.3920595533498759,0.9575757575757576,0.6929824561403509,1.0,0.8186528497409327,1.0
013_NAB_id_13_Traffic_tr_623_1st_2084,0.6888888888888889,1.0,1.0,0.9393939393939394,0.7560975609756098,0.7526555386949925,0.7294117647058823,1.0,1.0,1.0,0.5636363636363636,0.5541899441340782,1.0,0.8378378378378378,1.0,0.5517241379310345,0.9034608378870674,1.0,1.0,1.0,0.5636363636363636,0.8157894736842105,1.0,1.0,1.0,0.5961538461538461,0.7654320987654321,1.0,1.0,1.0,0.5299145299145299,0.8157894736842105,1.0,0.6666666666666666,1.0,0.7178002894356006,0.7689922480620155,1.0,1.0,1.0,0.7025495750708215,1.0,1.0,1.0,1.0,0.7526555386949925,0.7294117647058823,1.0,1.0,1.0,0.5636363636363636,0.8157894736842105,1.0,1.0,1.0,0.6326530612244898,0.7654320987654321,1.0,1.0,1.0,0.5254237288135594,0.8157894736842105,1.0,1.0,1.0,0.5617214043035108,0.7294117647058823,1.0,1.0,1.0
014_NAB_id_14_WebService_tr_500_1st_1045,0.7004608294930875,0.8587570621468926,0.9101796407185628,1.0,0.8837209302325582,0.7524752475247525,0.5537340619307832,1.0,0.9681528662420382,0.9382716049382716,0.7004608294930875,0.8587570621468926,1.0,1.0,0.9681528662420382,0.8837209302325582,0.5537340619307832,0.9681528662420382,1.0,1.0,0.7004608294930875,0.8587570621468926,1.0,1.0,0.9681528662420382,0.8760806916426513,0.0,1.0,1.0,1.0,0.7004608294930875,1.0,0.9101796407185628,1.0,0.9681528662420382,0.9296636085626911,0.5537340619307832,1.0,1.0,1.0,0.7004608294930875,1.0,0.9681528662420382,1.0,0.9382716049382716,0.9020771513353116,0.0,1.0,1.0,1.0,0.7004608294930875,1.0,1.0,1.0,0.8710601719197708,0.8515406162464986,0.5537340619307832,1.0,1.0,1.0,0.7004608294930875,1.0,0.9681528662420382,1.0,0.9382716049382716,0.7855297157622739,0.0,1.0,1.0,1.0
