file,Sub-IForest,IForest,Sub-LOF,LOF,POLY,MatrixProfile,KShapeAD,SAND,Series2Graph,SR,Sub-PCA,Sub-HBOS,Sub-OCSVM,Sub-MCD,Sub-KNN,KMeansAD,AutoEncoder,CNN,LSTMAD,TranAD,AnomalyTransformer,OmniAnomaly,USAD,Donut,TimesNet,FITS,OFA,Lag-Llama,Chronos,TimesFM,MOMENT (ZS),MOMENT (FT),ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,0.9730496453900708,1.0,0.8817480719794344,1.0,1.0,0.9436038514442916,0.7802037845705968,0.7424242424242424,1.0,1.0,1.0,0.9002624671916011,0.9884726224783864,0.8376068376068375,0.9648382559774964,0.7813211845102506,0.7572463768115941,0.997093023255814,0.9942028985507246,0.9607843137254902,0.9927641099855282,0.7206896551724138,0.5359999999999999,0.997093023255814,1.0,0.9985443959243084,1.0,1.0,1.0,1.0,1.0,1.0,4031,343,3,114.33333333333333,0.08509054825105433,0,1
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,0.9914396887159532,1.0,0.9644208932626798,1.0,1.0,0.7058171745152355,0.5418970650786898,0.6202531645569621,1.0,1.0,1.0,0.8533154722036169,0.2168141592920354,0.9906687402799378,0.9822667694680032,0.9937597503900156,0.9976507439310884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6000,637,1,637.0,0.10616666666666667,0,1
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,0.9855072463768116,0.9979035639413,0.2120267260579064,0.9425742574257424,0.9558232931726908,0.9734151329243356,0.9171483622350676,0.9754098360655736,0.9136276391554704,0.9916666666666668,0.9937369519832986,0.9539078156312624,0.9049429657794676,0.5626477541371159,0.2087719298245614,0.2274247491638796,0.9558232931726908,0.9979035639413,1.0,1.0,0.9875518672199172,0.9937369519832986,0.7615999999999999,1.0,0.9979035639413,1.0,0.9979035639412998,0.99581589958159,1.0,1.0,0.9979035639412998,0.9774127310061602,2379,238,1,238.0,0.10004203446826397,0,1
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,0.9735349716446124,0.8940972222222222,0.9389243391066544,0.8841201716738197,0.6358024691358025,0.9744560075685904,0.888888888888889,0.8367181153533713,0.7803030303030303,0.9568044588945656,0.6070726915520629,0.8879310344827586,0.9196428571428572,0.6823451473998013,0.9200535953550693,0.8884097035040431,0.9445208619899128,0.7107533064979873,0.6364572605561277,0.634171369933299,0.927092709270927,0.6029268292682927,0.3333333333333333,0.853443811496634,0.6835338034010784,0.7012765957446809,0.7885167464114833,0.7468277945619335,0.8626465661641541,0.8110236220472441,0.5663230240549828,0.6606092998396579,10319,1030,5,206.0,0.09981587363116581,0,1
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,1.0,0.9987577639751554,0.9877149877149876,0.9938195302843016,1.0,0.9901477832512317,1.0,1.0,1.0,1.0,1.0,0.8535031847133758,0.1838975297346752,0.976913730255164,0.2825017568517217,0.9840881272949816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987577639751553,0.9975186104218362,0.9962825278810408,1.0,1.0,4031,402,1,402.0,0.09972711485983626,0,1
009_NAB_id_9_Traffic_tr_500_1st_438.csv,0.8537549407114624,0.972972972972973,0.6749999999999999,0.9773755656108596,1.0,0.96,0.2402669632925472,0.3670348343245539,0.6878980891719745,0.993103448275862,0.7539267015706805,0.9863013698630138,1.0,1.0,0.6781789638932497,0.3098995695839311,0.6835443037974684,0.9818181818181818,0.997690531177829,0.9773755656108596,0.997690531177829,0.9707865168539326,0.7728085867620752,0.9773755656108596,0.997690531177829,0.9773755656108596,0.9976905311778292,0.9976905311778292,0.9953917050691244,0.9976905311778292,0.8554455445544554,0.8588469184890656,2161,216,1,216.0,0.0999537251272559,0,1
010_NAB_id_10_WebService_tr_500_1st_271.csv,0.2977867203219316,1.0,0.5167958656330749,1.0,0.4991568296795953,0.2059732234809474,0.3162393162393162,0.2733148661126501,0.3824091778202677,1.0,0.6514657980456026,0.2735674676524953,0.5434782608695652,0.796812749003984,0.4184100418410041,0.7728459530026109,0.3898635477582846,1.0,1.0,1.0,0.0,1.0,0.3460207612456747,0.6557377049180326,1.0,0.7751937984496124,0.976897689768977,1.0,1.0,1.0,0.9221183800623052,0.9164086687306502,1000,148,3,49.333333333333336,0.148,0,1
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,0.8977272727272727,1.0,0.9864724245577524,1.0,1.0,0.5776965265082267,0.5773447015834349,0.5034519383961763,1.0,1.0,1.0,1.0,1.0,0.6950146627565983,0.5683453237410072,0.5152173913043477,1.0,1.0,0.9947534102833158,0.9947534102833158,0.9643947100712106,0.7701056051990253,0.4362632305568338,1.0,1.0,1.0,1.0,1.0,0.9989462592202318,1.0,1.0,1.0,4031,474,1,474.0,0.11758868767055321,0,1
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,0.228255867464335,1.0,0.1963578780680918,0.5933014354066986,0.6684636118598383,0.2008097165991902,0.7595712098009189,0.7537993920972643,0.7537993920972644,1.0,0.7607361963190183,0.1864661654135338,0.7642526964560863,0.2250453720508166,0.2414800389483933,0.1987975951903808,0.4328097731239092,1.0,0.6985915492957747,0.6946778711484594,0.9340866290018832,0.3059839605181986,0.1989570798235058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2494,248,2,124.0,0.09943865276663993,0,1
014_NAB_id_14_WebService_tr_500_1st_1045.csv,1.0,1.0,0.9743589743589745,1.0,1.0,0.8397790055248618,1.0,1.0,0.8467966573816156,1.0,1.0,1.0,0.888888888888889,1.0,0.95,1.0,0.9470404984423676,1.0,1.0,1.0,0.0,1.0,0.5891472868217055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1537,152,1,152.0,0.0988939492517892,0,1
