file_path,dataset,ts2i_transformation_name,ts2i_transformation_pretty_name,window_len,stride,number_of_train_images,number_of_test_images,train_ts2i_transformation_wall_time_s,test_ts2i_transformation_wall_time_s,train_ts2i_transformation_time_per_image_ms,test_ts2i_transformation_time_per_image_ms,train_ts2i_transformation_throughput_images_per_sec,test_ts2i_transformation_throughput_images_per_sec,test_timeseries_length,n_workers
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,gramian_angular_difference_field,GADF,10,10,100,302,91.9333116770722,92.48800223204307,919.333116770722,306.25166302001014,1.0877449988015564,3.265288391053279,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,gramian_angular_summation_field,GASF,10,10,100,302,92.47915440192446,92.3039095478598,924.7915440192446,305.64208459556227,1.0813247660698662,3.271800744728069,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,line_plot,LP,10,10,100,302,0.9220010389108211,2.2977969290222973,9.22001038910821,7.608599102722839,108.4597476355689,131.43023919372183,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,markov_transition_field,MTF,10,10,100,302,56.32296024891548,57.06053531402722,563.2296024891548,188.94216991399742,1.7754748606617412,5.292624724566143,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,morlet_wavelet_transform,MWT,10,10,100,302,0.7187982418108732,1.4147910978645086,7.1879824181087315,4.684738734650691,139.12109710795806,213.45907565847708,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,random_noise,RN,10,10,100,302,0.7447608939837664,1.2467292088549584,7.447608939837664,4.128242413427015,134.2712819749364,242.2338370313533,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,recurrence_plot,RP,10,10,100,302,0.6742316971067339,1.1595944168511778,6.742316971067339,3.8397166120899926,148.3169664510293,260.4358865577038,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,ricker_wavelet_transform,RWT,10,10,100,302,0.7042587830219418,1.6121823471039534,7.042587830219418,5.338352142728322,141.9932593114489,187.32372336324005,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,state_grid,SG,10,10,100,302,0.6055386690422893,1.0673361918888986,6.055386690422893,3.534225800956618,165.14221983239895,282.9473996056866,3024,15
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,spiral,SPIRAL,10,10,100,302,0.5933758290484548,1.3185124008450657,5.933758290484548,4.365935102135979,168.5272555849828,229.04600654983682,3024,15
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,NAB,gramian_angular_difference_field,GADF,81,81,18,55,1.4043222521431744,0.44158021709881723,78.01790289684301,8.028731219978495,12.81757087629261,124.55268118972832,4500,15
